Date,Discount
13-Feb-12,0
10-Feb-12,-0.01
9-Feb-12,0.02
8-Feb-12,0
7-Feb-12,0
6-Feb-12,-0.04
3-Feb-12,-0.01
2-Feb-12,0.04
1-Feb-12,-0.02
31-Jan-12,-0.03
30-Jan-12,0.02
27-Jan-12,0.04
26-Jan-12,0.01
25-Jan-12,-0.04
24-Jan-12,-0.01
23-Jan-12,-0.01
20-Jan-12,-0.01
19-Jan-12,0.02
18-Jan-12,-0.02
17-Jan-12,-0.03
13-Jan-12,0.05
12-Jan-12,-0.01
11-Jan-12,0.01
10-Jan-12,-0.01
9-Jan-12,-0.03
6-Jan-12,0.04
5-Jan-12,0.02
4-Jan-12,0.02
3-Jan-12,-0.01
30-Dec-11,-0.05
29-Dec-11,-0.02
28-Dec-11,0.09
27-Dec-11,0.05
23-Dec-11,0
22-Dec-11,0.04
21-Dec-11,0
20-Dec-11,-0.02
19-Dec-11,-0.02
16-Dec-11,-0.09
15-Dec-11,0.03
14-Dec-11,-0.01
13-Dec-11,-0.03
12-Dec-11,0.02
9-Dec-11,-0.01
8-Dec-11,0.01
7-Dec-11,0.03
6-Dec-11,-0.02
5-Dec-11,0.02
2-Dec-11,-0.05
1-Dec-11,0.03
30-Nov-11,-0.07
29-Nov-11,0.04
28-Nov-11,0.04
25-Nov-11,-0.28
23-Nov-11,0.04
22-Nov-11,-0.01
21-Nov-11,-0.02
18-Nov-11,0.05
17-Nov-11,0.14
16-Nov-11,0.05
15-Nov-11,0.02
14-Nov-11,0.01
11-Nov-11,0.03
10-Nov-11,0.01
9-Nov-11,0
8-Nov-11,0.03
7-Nov-11,-0.01
4-Nov-11,0
3-Nov-11,-0.01
2-Nov-11,0.05
1-Nov-11,0.05
31-Oct-11,-0.06
28-Oct-11,-0.01
27-Oct-11,0.02
26-Oct-11,0
25-Oct-11,0.03
24-Oct-11,-0.01
21-Oct-11,0.01
20-Oct-11,-0.03
19-Oct-11,0.02
18-Oct-11,-0.04
17-Oct-11,0.03
14-Oct-11,0.03
13-Oct-11,0.02
12-Oct-11,-0.07
11-Oct-11,0.03
10-Oct-11,0.03
7-Oct-11,0.07
6-Oct-11,-0.04
5-Oct-11,0.01
4-Oct-11,-0.07
3-Oct-11,-0.03
30-Sep-11,0.02
29-Sep-11,0
28-Sep-11,0.03
27-Sep-11,0.06
26-Sep-11,-0.02
23-Sep-11,-0.13
22-Sep-11,0.02
21-Sep-11,-0.08
20-Sep-11,0.05
19-Sep-11,0
16-Sep-11,0.01
15-Sep-11,-0.01
14-Sep-11,-0.01
13-Sep-11,-0.05
12-Sep-11,0.01
9-Sep-11,0.01
8-Sep-11,-0.01
7-Sep-11,-0.04
6-Sep-11,0.06
2-Sep-11,-0.01
1-Sep-11,0.06
31-Aug-11,-0.04
30-Aug-11,-0.05
29-Aug-11,-0.03
26-Aug-11,-0.07
25-Aug-11,0.04
24-Aug-11,-0.01
23-Aug-11,-0.08
22-Aug-11,0.05
19-Aug-11,0.02
18-Aug-11,0.16
17-Aug-11,-0.02
16-Aug-11,0.01
